,index,id,billing_system_id,event_type,created_at,updated_at,user_id,payload,event_time,user_id_str,year-month
0,24,1194,evt_15sO5MB3hEhqM7Eo1sPoz1rd,invoice.payment_failed,2015-04-17 01:16:03.988427,2015-04-17 01:16:03.988427,14,"{""id"":""evt_15sO5MB3hEhqM7Eo1sPoz1rd"",""created"":1429233360,""livemode"":true,""type"":""invoice.payment_failed"",""data"":{""object"":{""id"":""in_15rHadB3hEhqM7EoD2Ewlss9"",""date"":1428970063,""period_start"":1428364800,""period_end"":1428969600,""lines"":{""object"":""list"",""total_count"":1,""has_more"":false,""url"":""/v1/invoices/in_15rHadB3hEhqM7EoD2Ewlss9/lines"",""data"":[{""id"":""sub_5vqrCGUQ6uyzV7"",""object"":""line_item"",""type"":""subscription"",""livemode"":true,""amount"":2613,""currency"":""usd"",""proration"":false,""period"":{""start"":1428969600,""end"":1429574400},""subscription"":null,""quantity"":1,""plan"":{""id"":""nyc_metro_weekly"",""interval"":""week"",""name"":""Metro Card (bills weekly)"",""created"":1417024084,""amount"":2613,""currency"":""usd"",""object"":""plan"",""livemode"":true,""interval_count"":1,""trial_period_days"":null,""metadata"":{},""statement_descriptor"":null,""statement_description"":null},""description"":null,""discountable"":true,""metadata"":{}}]},""subtotal"":2613,""total"":2613,""customer"":""cus_5Xp1KN2cfEcsdE"",""object"":""invoice"",""attempted"":true,""closed"":false,""forgiven"":false,""paid"":false,""livemode"":true,""attempt_count"":2,""amount_due"":2613,""currency"":""usd"",""starting_balance"":0,""ending_balance"":0,""next_payment_attempt"":null,""webhooks_delivered_at"":1428970072,""charge"":""ch_15sO5KB3hEhqM7Eox91ilZAc"",""discount"":null,""application_fee"":null,""subscription"":""sub_5vqrCGUQ6uyzV7"",""tax_percent"":null,""tax"":null,""metadata"":{},""statement_descriptor"":null,""description"":null,""receipt_number"":null,""statement_description"":null}},""object"":""event"",""pending_webhooks"":1,""request"":null,""api_version"":""2014-09-08""}",2015-04-17 01:16:00,14,2015-04
1,34,1204,evt_15skVbB3hEhqM7EofnNTFZIK,invoice.payment_failed,2015-04-18 01:12:39.168039,2015-04-18 01:12:39.168039,1,"{""id"":""evt_15skVbB3hEhqM7EofnNTFZIK"",""created"":1429319555,""livemode"":true,""type"":""invoice.payment_failed"",""data"":{""object"":{""id"":""in_15re2oB3hEhqM7EopytIFbSP"",""date"":1429056378,""period_start"":1428451200,""period_end"":1429056000,""lines"":{""object"":""list"",""total_count"":1,""has_more"":false,""url"":""/v1/invoices/in_15re2oB3hEhqM7EopytIFbSP/lines"",""data"":[{""id"":""sub_5DbDO7VliojmgH"",""object"":""line_item"",""type"":""subscription"",""livemode"":true,""amount"":2613,""currency"":""usd"",""proration"":false,""period"":{""start"":1429056000,""end"":1429660800},""subscription"":null,""quantity"":1,""plan"":{""id"":""nyc_metro_weekly"",""interval"":""week"",""name"":""Metro Card (bills weekly)"",""created"":1417024084,""amount"":2613,""currency"":""usd"",""object"":""plan"",""livemode"":true,""interval_count"":1,""trial_period_days"":null,""metadata"":{},""statement_descriptor"":null,""statement_description"":null},""description"":null,""discountable"":true,""metadata"":{}}]},""subtotal"":2613,""total"":2613,""customer"":""cus_5DbDCWYqG6x67P"",""object"":""invoice"",""attempted"":true,""closed"":false,""forgiven"":false,""paid"":false,""livemode"":true,""attempt_count"":2,""amount_due"":2613,""currency"":""usd"",""starting_balance"":0,""ending_balance"":0,""next_payment_attempt"":null,""webhooks_delivered_at"":1429056389,""charge"":null,""discount"":null,""application_fee"":null,""subscription"":""sub_5DbDO7VliojmgH"",""tax_percent"":null,""tax"":null,""metadata"":{},""statement_descriptor"":null,""description"":null,""receipt_number"":null,""statement_description"":null}},""object"":""event"",""pending_webhooks"":1,""request"":null,""api_version"":""2014-09-08""}",2015-04-18 01:12:35,1,2015-04
2,63,1233,evt_15tpvyB3hEhqM7EoCMt83D3g,invoice.payment_failed,2015-04-21 01:12:22.498013,2015-04-21 01:12:22.498013,14,"{""id"":""evt_15tpvyB3hEhqM7EoCMt83D3g"",""created"":1429578738,""livemode"":true,""type"":""invoice.payment_failed"",""data"":{""object"":{""id"":""in_15tovBB3hEhqM7EoDSQvTfP5"",""date"":1429574845,""period_start"":1428969600,""period_end"":1429574400,""lines"":{""object"":""list"",""total_count"":1,""has_more"":false,""url"":""/v1/invoices/in_15tovBB3hEhqM7EoDSQvTfP5/lines"",""data"":[{""id"":""sub_5vqrCGUQ6uyzV7"",""object"":""line_item"",""type"":""subscription"",""livemode"":true,""amount"":2613,""currency"":""usd"",""proration"":false,""period"":{""start"":1429574400,""end"":1430179200},""subscription"":null,""quantity"":1,""plan"":{""id"":""nyc_metro_weekly"",""interval"":""week"",""name"":""Metro Card (bills weekly)"",""created"":1417024084,""amount"":2613,""currency"":""usd"",""object"":""plan"",""livemode"":true,""interval_count"":1,""trial_period_days"":null,""metadata"":{},""statement_descriptor"":null,""statement_description"":null},""description"":null,""discountable"":true,""metadata"":{}}]},""subtotal"":2613,""total"":2613,""customer"":""cus_5Xp1KN2cfEcsdE"",""object"":""invoice"",""attempted"":true,""closed"":false,""forgiven"":false,""paid"":false,""livemode"":true,""attempt_count"":1,""amount_due"":2613,""currency"":""usd"",""starting_balance"":0,""ending_balance"":0,""next_payment_attempt"":1429837936,""webhooks_delivered_at"":1429574855,""charge"":""ch_15tpvwB3hEhqM7Eo76rByLsj"",""discount"":null,""application_fee"":null,""subscription"":""sub_5vqrCGUQ6uyzV7"",""tax_percent"":null,""tax"":null,""metadata"":{},""statement_descriptor"":null,""description"":null,""receipt_number"":null,""statement_description"":null}},""object"":""event"",""pending_webhooks"":1,""request"":null,""api_version"":""2014-09-08""}",2015-04-21 01:12:18,14,2015-04
3,78,1245,evt_15uCSmB3hEhqM7EoGiOJmU3H,invoice.payment_failed,2015-04-22 01:35:24.630353,2015-04-22 01:35:24.630353,1,"{""id"":""evt_15uCSmB3hEhqM7EoGiOJmU3H"",""created"":1429665340,""livemode"":true,""type"":""invoice.payment_failed"",""data"":{""object"":{""id"":""in_15uBRRB3hEhqM7EoctJG04nl"",""date"":1429661413,""period_start"":1429056000,""period_end"":1429660800,""lines"":{""object"":""list"",""total_count"":1,""has_more"":false,""url"":""/v1/invoices/in_15uBRRB3hEhqM7EoctJG04nl/lines"",""data"":[{""id"":""sub_5DbDO7VliojmgH"",""object"":""line_item"",""type"":""subscription"",""livemode"":true,""amount"":2613,""currency"":""usd"",""proration"":false,""period"":{""start"":1429660800,""end"":1430265600},""subscription"":null,""quantity"":1,""plan"":{""id"":""nyc_metro_weekly"",""interval"":""week"",""name"":""Metro Card (bills weekly)"",""created"":1417024084,""amount"":2613,""currency"":""usd"",""object"":""plan"",""livemode"":true,""interval_count"":1,""trial_period_days"":null,""metadata"":{},""statement_descriptor"":null,""statement_description"":null},""description"":null,""discountable"":true,""metadata"":{}}]},""subtotal"":2613,""total"":2613,""customer"":""cus_5DbDCWYqG6x67P"",""object"":""invoice"",""attempted"":true,""closed"":false,""forgiven"":false,""paid"":false,""livemode"":true,""attempt_count"":1,""amount_due"":2613,""currency"":""usd"",""starting_balance"":0,""ending_balance"":0,""next_payment_attempt"":1429924540,""webhooks_delivered_at"":1429661436,""charge"":null,""discount"":null,""application_fee"":null,""subscription"":""sub_5DbDO7VliojmgH"",""tax_percent"":null,""tax"":null,""metadata"":{},""statement_descriptor"":null,""description"":null,""receipt_number"":null,""statement_description"":null}},""object"":""event"",""pending_webhooks"":1,""request"":null,""api_version"":""2014-09-08""}",2015-04-22 01:15:40,1,2015-04
4,105,1269,evt_15uvOiB3hEhqM7Eoxx6KhhCc,invoice.payment_failed,2015-04-24 01:14:31.580957,2015-04-24 01:14:31.580957,14,"{""id"":""evt_15uvOiB3hEhqM7Eoxx6KhhCc"",""created"":1429838068,""livemode"":true,""type"":""invoice.payment_failed"",""data"":{""object"":{""id"":""in_15tovBB3hEhqM7EoDSQvTfP5"",""date"":1429574845,""period_start"":1428969600,""period_end"":1429574400,""lines"":{""object"":""list"",""total_count"":1,""has_more"":false,""url"":""/v1/invoices/in_15tovBB3hEhqM7EoDSQvTfP5/lines"",""data"":[{""id"":""sub_5vqrCGUQ6uyzV7"",""object"":""line_item"",""type"":""subscription"",""livemode"":true,""amount"":2613,""currency"":""usd"",""proration"":false,""period"":{""start"":1429574400,""end"":1430179200},""subscription"":null,""quantity"":1,""plan"":{""id"":""nyc_metro_weekly"",""interval"":""week"",""name"":""Metro Card (bills weekly)"",""created"":1417024084,""amount"":2613,""currency"":""usd"",""object"":""plan"",""livemode"":true,""interval_count"":1,""trial_period_days"":null,""metadata"":{},""statement_descriptor"":null,""statement_description"":null},""description"":null,""discountable"":true,""metadata"":{}}]},""subtotal"":2613,""total"":2613,""customer"":""cus_5Xp1KN2cfEcsdE"",""object"":""invoice"",""attempted"":true,""closed"":false,""forgiven"":false,""paid"":false,""livemode"":true,""attempt_count"":2,""amount_due"":2613,""currency"":""usd"",""starting_balance"":0,""ending_balance"":0,""next_payment_attempt"":null,""webhooks_delivered_at"":1429574855,""charge"":""ch_15uvOhB3hEhqM7EocpBXClfM"",""discount"":null,""application_fee"":null,""subscription"":""sub_5vqrCGUQ6uyzV7"",""tax_percent"":null,""tax"":null,""metadata"":{},""statement_descriptor"":null,""description"":null,""receipt_number"":null,""statement_description"":null}},""object"":""event"",""pending_webhooks"":1,""request"":null,""api_version"":""2014-09-08""}",2015-04-24 01:14:28,14,2015-04
5,114,1276,evt_15vHyJB3hEhqM7EoutxyzXn4,invoice.payment_failed,2015-04-25 01:20:47.008386,2015-04-25 01:20:47.008386,1,"{""id"":""evt_15vHyJB3hEhqM7EoutxyzXn4"",""created"":1429924843,""livemode"":true,""type"":""invoice.payment_failed"",""data"":{""object"":{""id"":""in_15uBRRB3hEhqM7EoctJG04nl"",""date"":1429661413,""period_start"":1429056000,""period_end"":1429660800,""lines"":{""object"":""list"",""total_count"":1,""has_more"":false,""url"":""/v1/invoices/in_15uBRRB3hEhqM7EoctJG04nl/lines"",""data"":[{""id"":""sub_5DbDO7VliojmgH"",""object"":""line_item"",""type"":""subscription"",""livemode"":true,""amount"":2613,""currency"":""usd"",""proration"":false,""period"":{""start"":1429660800,""end"":1430265600},""subscription"":null,""quantity"":1,""plan"":{""id"":""nyc_metro_weekly"",""interval"":""week"",""name"":""Metro Card (bills weekly)"",""created"":1417024084,""amount"":2613,""currency"":""usd"",""object"":""plan"",""livemode"":true,""interval_count"":1,""trial_period_days"":null,""metadata"":{},""statement_descriptor"":null,""statement_description"":null},""description"":null,""discountable"":true,""metadata"":{}}]},""subtotal"":2613,""total"":2613,""customer"":""cus_5DbDCWYqG6x67P"",""object"":""invoice"",""attempted"":true,""closed"":false,""forgiven"":false,""paid"":false,""livemode"":true,""attempt_count"":2,""amount_due"":2613,""currency"":""usd"",""starting_balance"":0,""ending_balance"":0,""next_payment_attempt"":null,""webhooks_delivered_at"":1429661436,""charge"":null,""discount"":null,""application_fee"":null,""subscription"":""sub_5DbDO7VliojmgH"",""tax_percent"":null,""tax"":null,""metadata"":{},""statement_descriptor"":null,""description"":null,""receipt_number"":null,""statement_description"":null}},""object"":""event"",""pending_webhooks"":1,""request"":null,""api_version"":""2014-09-08""}",2015-04-25 01:20:43,1,2015-04
6,144,1302,evt_15wNOdB3hEhqM7EoytpEs7dM,invoice.payment_failed,2015-04-28 01:20:28.087708,2015-04-28 01:20:28.087708,14,"{""id"":""evt_15wNOdB3hEhqM7EoytpEs7dM"",""created"":1430184023,""livemode"":true,""type"":""invoice.payment_failed"",""data"":{""object"":{""id"":""in_15wMHjB3hEhqM7Eon8g4Xy3s"",""date"":1430179751,""period_start"":1429574400,""period_end"":1430179200,""lines"":{""object"":""list"",""total_count"":1,""has_more"":false,""url"":""/v1/invoices/in_15wMHjB3hEhqM7Eon8g4Xy3s/lines"",""data"":[{""id"":""sub_5vqrCGUQ6uyzV7"",""object"":""line_item"",""type"":""subscription"",""livemode"":true,""amount"":2613,""currency"":""usd"",""proration"":false,""period"":{""start"":1430179200,""end"":1430784000},""subscription"":null,""quantity"":1,""plan"":{""id"":""nyc_metro_weekly"",""interval"":""week"",""name"":""Metro Card (bills weekly)"",""created"":1417024084,""amount"":2613,""currency"":""usd"",""object"":""plan"",""livemode"":true,""interval_count"":1,""trial_period_days"":null,""metadata"":{},""statement_descriptor"":null,""statement_description"":null},""description"":null,""discountable"":true,""metadata"":{}}]},""subtotal"":2613,""total"":2613,""customer"":""cus_5Xp1KN2cfEcsdE"",""object"":""invoice"",""attempted"":true,""closed"":false,""forgiven"":false,""paid"":false,""livemode"":true,""attempt_count"":1,""amount_due"":2613,""currency"":""usd"",""starting_balance"":0,""ending_balance"":0,""next_payment_attempt"":1430443222,""webhooks_delivered_at"":1430179759,""charge"":""ch_15wNOcB3hEhqM7EoKIQXMFDE"",""discount"":null,""application_fee"":null,""subscription"":""sub_5vqrCGUQ6uyzV7"",""tax_percent"":null,""tax"":null,""metadata"":{},""statement_descriptor"":null,""description"":null,""receipt_number"":null,""statement_description"":null}},""object"":""event"",""pending_webhooks"":1,""request"":null,""api_version"":""2014-09-08""}",2015-04-28 01:20:23,14,2015-04
7,158,1317,evt_15wjjMB3hEhqM7EoGZYfoYdm,invoice.payment_failed,2015-04-29 01:14:46.862974,2015-04-29 01:14:46.862974,1,"{""id"":""evt_15wjjMB3hEhqM7EoGZYfoYdm"",""created"":1430269876,""livemode"":true,""type"":""invoice.payment_failed"",""data"":{""object"":{""id"":""in_15wijVB3hEhqM7EoGaVHzsPF"",""date"":1430266041,""period_start"":1429660800,""period_end"":1430265600,""lines"":{""object"":""list"",""total_count"":1,""has_more"":false,""url"":""/v1/invoices/in_15wijVB3hEhqM7EoGaVHzsPF/lines"",""data"":[{""id"":""sub_5DbDO7VliojmgH"",""object"":""line_item"",""type"":""subscription"",""livemode"":true,""amount"":2613,""currency"":""usd"",""proration"":false,""period"":{""start"":1430265600,""end"":1430870400},""subscription"":null,""quantity"":1,""plan"":{""id"":""nyc_metro_weekly"",""interval"":""week"",""name"":""Metro Card (bills weekly)"",""created"":1417024084,""amount"":2613,""currency"":""usd"",""object"":""plan"",""livemode"":true,""interval_count"":1,""trial_period_days"":null,""metadata"":{},""statement_descriptor"":null,""statement_description"":null},""description"":null,""discountable"":true,""metadata"":{}}]},""subtotal"":2613,""total"":2613,""customer"":""cus_5DbDCWYqG6x67P"",""object"":""invoice"",""attempted"":true,""closed"":false,""forgiven"":false,""paid"":false,""livemode"":true,""attempt_count"":1,""amount_due"":2613,""currency"":""usd"",""starting_balance"":0,""ending_balance"":0,""next_payment_attempt"":1430529076,""webhooks_delivered_at"":1430266047,""charge"":null,""discount"":null,""application_fee"":null,""subscription"":""sub_5DbDO7VliojmgH"",""tax_percent"":null,""tax"":null,""metadata"":{},""statement_descriptor"":null,""description"":null,""receipt_number"":null,""statement_description"":null}},""object"":""event"",""pending_webhooks"":1,""request"":null,""api_version"":""2014-09-08""}",2015-04-29 01:11:16,1,2015-04
8,180,1341,evt_15xT4GB3hEhqM7EovFjDe6Bz,invoice.payment_failed,2015-05-01 01:35:54.541126,2015-05-01 01:35:54.541126,14,"{""id"":""evt_15xT4GB3hEhqM7EovFjDe6Bz"",""created"":1430444152,""livemode"":true,""type"":""invoice.payment_failed"",""data"":{""object"":{""id"":""in_15wMHjB3hEhqM7Eon8g4Xy3s"",""date"":1430179751,""period_start"":1429574400,""period_end"":1430179200,""lines"":{""object"":""list"",""total_count"":1,""has_more"":false,""url"":""/v1/invoices/in_15wMHjB3hEhqM7Eon8g4Xy3s/lines"",""data"":[{""id"":""sub_5vqrCGUQ6uyzV7"",""object"":""line_item"",""type"":""subscription"",""livemode"":true,""amount"":2613,""currency"":""usd"",""proration"":false,""period"":{""start"":1430179200,""end"":1430784000},""subscription"":null,""quantity"":1,""plan"":{""id"":""nyc_metro_weekly"",""interval"":""week"",""name"":""Metro Card (bills weekly)"",""created"":1417024084,""amount"":2613,""currency"":""usd"",""object"":""plan"",""livemode"":true,""interval_count"":1,""trial_period_days"":null,""metadata"":{},""statement_descriptor"":null,""statement_description"":null},""description"":null,""discountable"":true,""metadata"":{}}]},""subtotal"":2613,""total"":2613,""customer"":""cus_5Xp1KN2cfEcsdE"",""object"":""invoice"",""attempted"":true,""closed"":false,""forgiven"":false,""paid"":false,""livemode"":true,""attempt_count"":2,""amount_due"":2613,""currency"":""usd"",""starting_balance"":0,""ending_balance"":0,""next_payment_attempt"":null,""webhooks_delivered_at"":1430179759,""charge"":""ch_15xT4FB3hEhqM7Eoc7YVRx50"",""discount"":null,""application_fee"":null,""subscription"":""sub_5vqrCGUQ6uyzV7"",""tax_percent"":null,""tax"":null,""metadata"":{},""statement_descriptor"":null,""description"":null,""receipt_number"":null,""statement_description"":null}},""object"":""event"",""pending_webhooks"":1,""request"":null,""api_version"":""2014-09-08""}",2015-05-01 01:35:52,14,2015-04
9,193,1353,evt_15xpBgB3hEhqM7EomHGXUpHE,invoice.payment_failed,2015-05-02 01:13:08.091248,2015-05-02 01:13:08.091248,1,"{""id"":""evt_15xpBgB3hEhqM7EomHGXUpHE"",""created"":1430529180,""livemode"":true,""type"":""invoice.payment_failed"",""data"":{""object"":{""id"":""in_15wijVB3hEhqM7EoGaVHzsPF"",""date"":1430266041,""period_start"":1429660800,""period_end"":1430265600,""lines"":{""object"":""list"",""total_count"":1,""has_more"":false,""url"":""/v1/invoices/in_15wijVB3hEhqM7EoGaVHzsPF/lines"",""data"":[{""id"":""sub_5DbDO7VliojmgH"",""object"":""line_item"",""type"":""subscription"",""livemode"":true,""amount"":2613,""currency"":""usd"",""proration"":false,""period"":{""start"":1430265600,""end"":1430870400},""subscription"":null,""quantity"":1,""plan"":{""id"":""nyc_metro_weekly"",""interval"":""week"",""name"":""Metro Card (bills weekly)"",""created"":1417024084,""amount"":2613,""currency"":""usd"",""object"":""plan"",""livemode"":true,""interval_count"":1,""trial_period_days"":null,""metadata"":{},""statement_descriptor"":null,""statement_description"":null},""description"":null,""discountable"":true,""metadata"":{}}]},""subtotal"":2613,""total"":2613,""customer"":""cus_5DbDCWYqG6x67P"",""object"":""invoice"",""attempted"":true,""closed"":false,""forgiven"":false,""paid"":false,""livemode"":true,""attempt_count"":2,""amount_due"":2613,""currency"":""usd"",""starting_balance"":0,""ending_balance"":0,""next_payment_attempt"":null,""webhooks_delivered_at"":1430266047,""charge"":null,""discount"":null,""application_fee"":null,""subscription"":""sub_5DbDO7VliojmgH"",""tax_percent"":null,""tax"":null,""metadata"":{},""statement_descriptor"":null,""description"":null,""receipt_number"":null,""statement_description"":null}},""object"":""event"",""pending_webhooks"":1,""request"":null,""api_version"":""2014-09-08""}",2015-05-02 01:13:00,1,2015-04
